iter	Logloss
0	0.6784410371
1	0.6633661852
2	0.6481394977
3	0.6409628306
4	0.6287945226
5	0.6181133075
6	0.60153784917	0.5975988954
8	0.5877164804
9	0.5790051808
10	0.5703538453
11	0.5623235833
12	0.5547374688
13	0.5469802625
14	0.5403627343
15	0.5338816632
16	0.5283066086
17	0.5225552554
18	0.5173906681
19	0.5129837573
20	0.5086219946
21	0.5040564452
22	0.500119778123	0.495431211
24	0.4910227352
25	0.4872953864
26	0.4838655014
27	0.4800969178
28	0.4767680597
29	0.4742014692
30	0.4710305483
31	0.4684804668
32	0.4660165774
33	0.4633997059
34	0.4613846086
35	0.4591801001
36	0.4569695575
37	0.4550028172
38	0.4532381223
39	0.4517480472
40	0.4496760704
41	0.4479126054
42	0.4464604305
43	0.4451827875
44	0.4433062387
45	0.441902241
46	0.4402335619
47	0.4391285569
48	0.4374290163
49	0.4359388337
50	0.4350789053
51	0.4335779012
52	0.4325507363
53	0.4315279073
54	0.4306877814
55	0.429758891
56	0.4289305593
57	0.4282381833
58	0.427306407
59	0.426686407
60	0.4259798501
61	0.4251716592
62	0.4245268908
63	0.4241280081
64	0.4236389938
65	0.4230051907
66	0.4225291681
67	0.4219771419
68	0.421358151
69	0.4208655171
70	0.4201925797
71	0.4197145072
72	0.4193250467
73	0.4185441346
74	0.418008956
75	0.4176753542
76	0.4170467397
77	0.4165856991
78	0.4160468155
79	0.4156146501
80	0.4152746985
81	0.4149200572
82	0.4144929488
83	0.414136725
84	0.4138434118
85	0.4135450102
86	0.4133359343
87	0.4130738215
88	0.4127021021
89	0.4124557379
90	0.4122333648
91	0.4118748239
92	0.4114769244
93	0.4111332969
94	0.4107362512
95	0.4104588998
96	0.4101760851
97	0.4098826383
98	0.4095927387
99	0.409156799
100	0.4087489687
101	0.4085944954
102	0.4083533971
103	0.4081417873
104	0.4079314295
105	0.4076945884
106	0.4073686196
107	0.4071839616
108	0.4070086241
109	0.4067944122
110	0.4064906129
111	0.4063460426
112	0.40612638
113	0.4059440785
114	0.4056425699
115	0.4052824347
116	0.4050682218
117	0.4048529521
118	0.4046876728
119	0.4045256459
120	0.4043673983
121	0.4041796638
122	0.4039832524
123	0.4037844576
124	0.4035397453
125	0.4033078999
126	0.4030972072
127	0.4028995679
128	0.4026186767
129	0.4023945285
130	0.4023001907
131	0.4021492541
132	0.4020352298
133	0.4019148429
134	0.4017326992
135	0.4016695261
136	0.4014812681
137	0.4013324144
138	0.4011243012
139	0.400984392
140	0.4007744297
141	0.4006484903
142	0.4005043598
143	0.4002561378
144	0.4000958995
145	0.4000017825
146	0.3998362413
147	0.399711931
148	0.3995735412
149	0.3995010896
150	0.3993489179
151	0.3991976182
152	0.3990384314
153	0.3989437935
154	0.3987884712
155	0.3986367152
156	0.398503606
157	0.3983460344
158	0.3982022657
159	0.3981327042
160	0.3980331322
161	0.397942492
162	0.3978512001
163	0.3977213386
164	0.3975954732
165	0.3974029882
166	0.3972650838
167	0.3970967625
168	0.3969746409
169	0.396812906
170	0.3967327647
171	0.3966447097
172	0.396473694
173	0.396363933
174	0.3962649093
175	0.3961667452
176	0.3960171672
177	0.3959117904
178	0.39579683691179	0.39567413871180	0.39562192921181	0.3955296663
182	0.3954409747
183	0.3952784951
184	0.3951975779
185	0.3950502305
186	0.3949645843
187	0.3948700158
188	0.394792873
189	0.3947125469
190	0.3945270172
191	0.3944594266
192	0.3943474586
193	0.3942643013
194	0.3941594012
195	0.3940604052
196	0.3939682236
197	0.3938492919
198	0.3937410054
199	0.3936413795
200	0.3935431925
201	0.3934243847
202	0.3933637412
203	0.3933048335
204	0.3931966368
205	0.3931264699
206	0.3930103929
207	0.3929093357
208	0.3928397255
209	0.3927484324
210	0.3926948447
211	0.3926006398
212	0.3924619984
213	0.3923914744
214	0.3922917976
215	0.3921841592
216	0.392092286
217	0.3920176882
218	0.3919592749
219	0.3918906696
220	0.3917825715
221	0.3916975733
222	0.3916002561
223	0.391520101
224	0.3914043617
225	0.3912977543
226	0.3911789151
227	0.3911206624
228	0.3909021855
229	0.3908015073
230	0.3907111696
231	0.3906515634
232	0.3905733236
233	0.3905366752
234	0.3904921355
235	0.3904089002
236	0.3903131139
237	0.3902671887
238	0.3901041973
239	0.3900168463
240	0.3899158358
241	0.3897843102
242	0.3896864449
243	0.3895728676
244	0.3894304717
245	0.3893600468
246	0.3892769497
247	0.3891287952
248	0.3890534687
249	0.3889462316
250	0.3887846446
251	0.3887221069
252	0.3886449246
253	0.3885033981
254	0.3884489023
255	0.388328533
256	0.3882897666
257	0.3882089117
258	0.3881606645
259	0.3880832004
260	0.3879845039
261	0.3878530182
262	0.3877800232
263	0.387612199
264	0.3875133529
265	0.3873623402
266	0.3873010449
267	0.3872470822
268	0.3871606454
269	0.3870906198
270	0.3869932927
271	0.3869722355
272	0.3868380765
273	0.3867726558
274	0.3867001556
275	0.386651324
276	0.3864997236
277	0.3864336767
278	0.3863757908
279	0.3861891087
280	0.3860688149
281	0.3859560103
282	0.3858308752
283	0.3857234448
284	0.3856300601
285	0.3855708331
286	0.385436053
287	0.3853246296
288	0.3852553813
289	0.3851346139
290	0.3850323343
291	0.3849643782
292	0.3849279896
293	0.3848136913
294	0.3847166474
295	0.3846210024
296	0.3845733681
297	0.3845382262
298	0.3844779065
299	0.384418023
300	0.3843295128
301	0.3842451297
302	0.3841397828
303	0.3840385976
304	0.3839507166
305	0.3838956165
306	0.3838194013
307	0.3837615426
308	0.3836543947
309	0.3835884234
310	0.383311	0.38311	0.383312	0.38312	0.383313	0.383815886
314	0.3837607974
315	0.3836538496
316	0.3836066417
317	0.3835373899
318	0.3834433425
319	0.3833153573
320	0.3832279023
321	0.3831490558
322	0.383028668
323	0.3828924277
324	0.3827183983
325	0.3826599884
326	0.3825879659
327	0.3825230219
328	0.3824112213
329	0.3823100068
330	0.3822607564
331	0.3821474319
332	0.382068253
333	0.3819670244
334	0.3819092297
335	0.3817957263
336	0.3817105651
337	0.3816264714
338	0.3815219135
339	0.3814001421
340	0.3813201441
341	0.3811739581
342	0.3810786683
343	0.3809831368
344	0.380899771
345	0.38080883
346	0.380701566
347	0.3806095644
348	0.3805127199
349	0.3803871534
	0.3794237089
